author,location,content,properties
"{""properties"":{""friends"":1011,""verified"":false,""status_count"":16221}}","{""longitude"":1.2730815,""country"":""GB"",""latitude"":52.64150315634781}","{""body"":""Boooooooooorreedddddd""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":599,""verified"":false,""status_count"":5406}}","{""longitude"":-2.4170055,""country"":""GG"",""latitude"":49.57165277888953}","{""body"":""@diggs70 30 years ago probably the norm 🙈""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":218,""verified"":false,""status_count"":7246}}","{""longitude"":-1.5365415,""country"":""GB"",""latitude"":54.48622729923233}","{""body"":""@daniellecolby @americanpickers I've been watching all day""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":448,""verified"":false,""status_count"":2857}}","{""longitude"":-2.664049,""country"":""GB"",""latitude"":53.33373983363341}","{""body"":""Rykard \""don't wanna be bitchy but Scott is an idiot\"" YOURE BANG ON RY✌🏼️😂 #LoveIsland #ITV2""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":486,""verified"":false,""status_count"":4467}}","{""longitude"":-1.505989,""country"":""GB"",""latitude"":55.034199375429836}","{""body"":""#LoveIsland time 👀❤️""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":2294,""verified"":false,""status_count"":11409}}","{""longitude"":-2.6532380000000004,""country"":""GB"",""latitude"":53.54347057254045}","{""body"":""Copyrighted https://t.co/3DC2LuD4uk""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":239,""verified"":false,""status_count"":6984}}","{""longitude"":-4.2417515,""country"":""GB"",""latitude"":55.85839558130999}","{""body"":""ALIENS???? ?""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1466,""verified"":false,""status_count"":6590}}","{""longitude"":-1.9279804999999997,""country"":""GB"",""latitude"":52.23811605103171}","{""body"":""https://t.co/N63Vn7EAtd""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1329,""verified"":false,""status_count"":7150}}","{""longitude"":-3.5148764999999997,""country"":""GB"",""latitude"":50.7209524108503}","{""body"":""@vivthesetter @BBCSpringwatch hoping to see his family on tv maybe?""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1404,""verified"":false,""status_count"":36024}}","{""longitude"":-2.6420495,""country"":""GB"",""latitude"":50.942907454644235}","{""body"":""@kenz_parsons I'll FaceTime you tonighy? xx""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":282,""verified"":false,""status_count"":1766}}","{""longitude"":-0.2108945,""country"":""GB"",""latitude"":51.61191284168327}","{""body"":""A day of emotion and deep grief. Saying goodbye to a loved one is so hard. Not yet believing that the end came yet seeing that it's true.""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":824,""verified"":false,""status_count"":2876}}","{""longitude"":0.1618535,""country"":""GB"",""latitude"":51.479518714513524}","{""body"":""@IGNelson @VProfanisaurus hahaha""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":5400,""verified"":false,""status_count"":6354}}","{""longitude"":-3.8198209999999997,""country"":""GB"",""latitude"":50.82089115797822}","{""body"":""Check out our website for a selection of gifts #perfect for that special day! https://t.co/zvaiYesUF0 #WeddingHour https://t.co/iFpTqcVbQ8""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":2216,""verified"":false,""status_count"":9186}}","{""longitude"":0.1618535,""country"":""GB"",""latitude"":51.479518714513524}","{""body"":""This is basically my love for Ryder all in this ❤️ @RyderLads https://t.co/qT5oltTyDM""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":221,""verified"":false,""status_count"":117045}}","{""longitude"":-0.09916350000000003,""country"":""GB"",""latitude"":51.64530734401061}","{""body"":""@roshni_pb I hope there’s video evidence of this""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":281,""verified"":false,""status_count"":8881}}","{""longitude"":-1.8906405,""country"":""GB"",""latitude"":52.49405270288055}","{""body"":""Loooooooool clocked https://t.co/w38OjqTTGe""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":642,""verified"":false,""status_count"":7474}}","{""longitude"":-3.4260299999999995,""country"":""GB"",""latitude"":56.20793492436253}","{""body"":""@ReeceBernard98 not at all pal, if you's had won it fairly then would be the first person to congratulate yous. So fuck up""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":381,""verified"":false,""status_count"":11506}}","{""longitude"":-3.6022575000000003,""country"":""GB"",""latitude"":56.01009007520037}","{""body"":""@KellyNicolex what you looking to get done babe? X""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1546,""verified"":false,""status_count"":29489}}","{""longitude"":-2.3669329999999995,""country"":""GB"",""latitude"":51.379657904776394}","{""body"":""Gonna re-consider now you done bear grylls?? 🤔😂 @AstonMerrygold  https://t.co/rdaHvSuY1G""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":3450,""verified"":false,""status_count"":3628}}","{""longitude"":-0.4120220000000001,""country"":""GB"",""latitude"":51.37576552480028}","{""body"":""@Jasonschechter Hi there, I work for BBC radio. Glad to read you are safe. Could you follow so I can dm?""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":2870,""verified"":false,""status_count"":9137}}","{""longitude"":-1.4058525,""country"":""GB"",""latitude"":53.69631191069968}","{""body"":""No need for street lamps just use a sultan RS 😂😂😂😂 #GTAOnline""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":250,""verified"":false,""status_count"":4977}}","{""longitude"":-0.32863776,""country"":""GB"",""latitude"":51.75417716}","{""body"":""Oh I see Instagram is getting the Twitter/Facebook treatment of “X posted 20 photos of themselves” style notifications""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":249,""verified"":false,""status_count"":23}}","{""longitude"":-3.0033305,""country"":""GB"",""latitude"":53.63263081798527}","{""body"":""Volunteer coaches WANTED! Assist on Saturday mornings at our dev centre. Could lead to further opportunities. Minimum FA L1 @NLCoachOnline""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":216,""verified"":false,""status_count"":7673}}","{""longitude"":-2.0093330000000003,""country"":""GB"",""latitude"":52.51490546110416}","{""body"":""@iScottJC it would be a joy""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1788,""verified"":false,""status_count"":10006}}","{""longitude"":-2.7407224999999995,""country"":""GB"",""latitude"":53.36840136480341}","{""body"":""https://t.co/YuC9owj3Pb #BBC #toryelectionfraud""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":406,""verified"":false,""status_count"":1258}}","{""longitude"":-0.1373476,""country"":""GB"",""latitude"":51.505291}","{""body"":""Unreal night wine tasting with the Racing Metro team. Never felt so inferior standing next to… https://t.co/nFU2dXyrrf""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":969,""verified"":false,""status_count"":13278}}","{""longitude"":-1.6271020000000003,""country"":""GB"",""latitude"":54.82073746095298}","{""body"":""@willynufc haha kiss my arse jock strap! I'm only 28 tomorrow""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":581,""verified"":false,""status_count"":1844}}","{""longitude"":-0.18928900000000004,""country"":""GB"",""latitude"":51.410893464308295}","{""body"":""@CharlesBolden19 lol""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":127,""verified"":false,""status_count"":12233}}","{""longitude"":-1.7396194999999999,""country"":""GB"",""latitude"":55.13511300814875}","{""body"":""Mick Newell - \""We've been very ordinary for large parts of the game....\"" - 66 run defeat at Durham https://t.co/ziLTnN10NF""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":527,""verified"":false,""status_count"":27140}}","{""longitude"":0.13591599999999998,""country"":""GB"",""latitude"":52.20098398787838}","{""body"":""@kcs_krittapas กราบ""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":220,""verified"":false,""status_count"":6689}}","{""longitude"":-3.1404680000000003,""country"":""GB"",""latitude"":56.165077669777176}","{""body"":""@fionagraham13 @S_JDrummond @robwdrummond @Ecohoof  maybe got my hopes up a bit too much 😕 think I'm needing to shout louder #notbeingheard""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1088,""verified"":false,""status_count"":5165}}","{""longitude"":-2.5933005000000002,""country"":""GB"",""latitude"":53.38263616563445}","{""body"":""sunset sons' new album is my life rn""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":673,""verified"":false,""status_count"":29428}}","{""longitude"":-0.18067150000000007,""country"":""GB"",""latitude"":51.24107476902256}","{""body"":""Great volume form Mr Faze .. 😄 https://t.co/4tiaQ41HPy""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":2612,""verified"":false,""status_count"":1877}}","{""longitude"":0.026298999999999996,""country"":""GB"",""latitude"":51.394368557245095}","{""body"":""\""Feel like a mug, feel like a mug\"" boring #LoveIsland""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":326,""verified"":false,""status_count"":11226}}","{""longitude"":-1.5710735,""country"":""GB"",""latitude"":54.984881721800384}","{""body"":""@JoshInnes1221 your German after 6 snakebites""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":794,""verified"":false,""status_count"":17733}}","{""longitude"":-2.434952499999999,""country"":""GB"",""latitude"":53.58421048880526}","{""body"":""ultimate dream for 1st june\n\nRoss makes Twitter""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":650,""verified"":false,""status_count"":9264}}","{""longitude"":-0.15940300000000002,""country"":""GB"",""latitude"":51.54244893903978}","{""body"":""@westermannah  our email is poeticpilgrimage@yahoo.co.uk can you mail us and we can talk more🌻""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":993,""verified"":false,""status_count"":4550}}","{""longitude"":-2.6420435,""country"":""GB"",""latitude"":53.69563211766759}","{""body"":""#EUreferendum postal vote here #big-decision""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":959,""verified"":false,""status_count"":27158}}","{""longitude"":-0.252754,""country"":""GB"",""latitude"":51.39781057661456}","{""body"":""Me and @Hannah3690 got to push the great doors open because of our birthdays! BEST THING EVER https://t.co/6NmjNpG7bK""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1412,""verified"":false,""status_count"":2563}}","{""longitude"":-1.7856895,""country"":""GB"",""latitude"":51.5730271279188}","{""body"":""#perspective https://t.co/FmDKeaDMVI""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":382,""verified"":false,""status_count"":18856}}","{""longitude"":-2.2118700000000002,""country"":""GB"",""latitude"":52.1949280184406}","{""body"":""Had the most boring day 💀""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":222,""verified"":false,""status_count"":10815}}","{""longitude"":0.44530100000000017,""country"":""GB"",""latitude"":51.526173688843706}","{""body"":""I'm starting to miss my braces 🚶🏽""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":164,""verified"":false,""status_count"":42}}","{""longitude"":0.511578,""country"":""GB"",""latitude"":52.227131081826634}","{""body"":""@hollykiss Try @TheWhiteModels x""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1418,""verified"":false,""status_count"":21865}}","{""longitude"":-3.9457349999999987,""country"":""GB"",""latitude"":51.644318675742966}","{""body"":""#stateoforigin is something @SuperLeague should definitely consider Lancs Vs Yorks #WarOfTheRoses""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":425,""verified"":false,""status_count"":69947}}","{""longitude"":-0.6621609999999999,""country"":""GB"",""latitude"":54.45686548467435}","{""body"":""So tired😩😴""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":195,""verified"":false,""status_count"":4956}}","{""longitude"":0.020603500000000004,""country"":""GB"",""latitude"":52.25261912961247}","{""body"":""Two days left till I pick up the new car!!""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":103,""verified"":false,""status_count"":845}}","{""longitude"":-1.0853244999999998,""country"":""GB"",""latitude"":53.966222428737346}","{""body"":""Fuuuuuuuuk https://t.co/VuiQN35Slm""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":682,""verified"":false,""status_count"":1646}}","{""longitude"":-2.1540125,""country"":""GB"",""latitude"":53.01941871958767}","{""body"":""@GraceFrankliin deffo you  https://t.co/mWaWsoaYQP""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":377,""verified"":false,""status_count"":14126}}","{""longitude"":-1.2334335000000003,""country"":""GB"",""latitude"":51.754299387878554}","{""body"":""Loan signings loan signings everywhere!!! https://t.co/UN8JX1bOHl""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":190,""verified"":false,""status_count"":72638}}","{""longitude"":0.07886299999999999,""country"":""GB"",""latitude"":51.58500991494593}","{""body"":""https://t.co/bJqAul08BN""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":206,""verified"":false,""status_count"":1145}}","{""longitude"":1.15604288,""country"":""GB"",""latitude"":51.11155508}","{""body"":""@_toxicchelsea @DailyMailUK @MailOnline How would you like me to interpret your explanation...""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":246,""verified"":false,""status_count"":12287}}","{""longitude"":-1.7492610000000004,""country"":""GB"",""latitude"":52.38635615322815}","{""body"":""https://t.co/jWxi9pb4H9""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1954,""verified"":false,""status_count"":9560}}","{""longitude"":1.302505,""country"":""GB"",""latitude"":51.13241515126608}","{""body"":""@PrisonPlanet IMPORTANT! The West is anti-white & pro-immigration probably because our fertility rate is 30% too low so we're dying out :(""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":140,""verified"":false,""status_count"":17348}}","{""longitude"":-1.96296179,""country"":""GB"",""latitude"":53.89826298}","{""body"":""ur full of shit u piece of shit""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":4254,""verified"":false,""status_count"":130003}}","{""longitude"":-1.7396194999999999,""country"":""GB"",""latitude"":55.13511300814875}","{""body"":""@RHSunglasses oo love these""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":3871,""verified"":false,""status_count"":88115}}","{""longitude"":-0.11540599999999997,""country"":""GB"",""latitude"":51.46034516709653}","{""body"":""@lordmauve @chrisjrn to be fair - I demand oboes. Where are the damned oboes?!""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":674,""verified"":false,""status_count"":13841}}","{""longitude"":0.5579120000000002,""country"":""GB"",""latitude"":51.27670306443055}","{""body"":""Feels amazing not having to set my alarm for the first time in 2 weeks but for one day only 😪💤😴 #busy #cantkeepup""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":236,""verified"":false,""status_count"":1022}}","{""longitude"":-3.2030084999999997,""country"":""GB"",""latitude"":55.943259273756}","{""body"":""@BeifBrau @salthorsebar @kernelbrewery @sixDnorthBREW You know what the answer there is Keith. Stop working and/or going away :)""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":85,""verified"":false,""status_count"":63858}}","{""longitude"":0.69555556,""country"":""GB"",""latitude"":51.745}","{""body"":""Heybridge Weather 02/06/16 at 00:18 Temp 11.4C, 24hr rain 0.6mm, Pressure 1017.9mb, WindS 0.7mph""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1669,""verified"":false,""status_count"":4217}}","{""longitude"":-4.200440999999999,""country"":""GB"",""latitude"":57.786631183916356}","{""body"":""@the401challenge pssst.. Ben it was Victoria that sorted the route, Karen made fab food 👍 keep working hard! Sending good vibes.""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":2359,""verified"":false,""status_count"":63250}}","{""longitude"":-4.2417515,""country"":""GB"",""latitude"":55.85839558130999}","{""body"":""@concretism I don't like hipsters per se.\na punk will flatten anyone claiming hipsterdom with ease. They're right wing, small & don't mix.""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":917,""verified"":false,""status_count"":81313}}","{""longitude"":-0.07060350000000003,""country"":""GB"",""latitude"":51.46469310439313}","{""body"":""Alice in chain y guns 👍🏼""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":694,""verified"":false,""status_count"":3513}}","{""longitude"":-2.4874310000000004,""country"":""GB"",""latitude"":53.53073471642859}","{""body"":""Turned on a programme about people on the dole and there's some girl in a swimming costume dancing with fire getting her mum to film it, god""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":795,""verified"":false,""status_count"":15398}}","{""longitude"":-0.18928900000000004,""country"":""GB"",""latitude"":51.410893464308295}","{""body"":""@TbioMed could be battery powered for camping or similar""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":857,""verified"":false,""status_count"":14977}}","{""longitude"":-1.7874955000000006,""country"":""GB"",""latitude"":52.44725408864302}","{""body"":""Why do my cats fight when I'm trying to sleep fuck off""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":536,""verified"":false,""status_count"":9649}}","{""longitude"":-0.0923,""country"":""GB"",""latitude"":51.3752}","{""body"":""Finally managed to see the #flyingscotsman at work!! @ East Croydon station https://t.co/X3xbuf5Zc6""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":674,""verified"":false,""status_count"":7337}}","{""longitude"":-3.860929,""country"":""GB"",""latitude"":51.71693708550789}","{""body"":""I really am very lucky""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":87,""verified"":false,""status_count"":74}}","{""longitude"":-4.2417515,""country"":""GB"",""latitude"":55.85839558130999}","{""body"":""@SethMacFarlane @GilpinPeri @washingtonpost hi seth could u please donate 5grand to my bucket list fund thanks""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":3795,""verified"":false,""status_count"":9307}}","{""longitude"":-3.94331943,""country"":""GB"",""latitude"":51.62623951}","{""body"":""#SongsGoingNowhere\n\nGloria Estefan - Don't Go Away!""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":290,""verified"":false,""status_count"":595}}","{""longitude"":-1.5685954999999998,""country"":""GB"",""latitude"":54.94155570577247}","{""body"":""@alanshearer tremendous viewing.    Cheers for the memories!""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":265,""verified"":false,""status_count"":944}}","{""longitude"":-1.7396194999999999,""country"":""GB"",""latitude"":55.13511300814875}","{""body"":""@DanielNewman Thanks for the follow Daniel! You getting much action in #TWD Season 7?""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":19492,""verified"":false,""status_count"":46933}}","{""longitude"":-1.7610015,""country"":""GB"",""latitude"":53.7558582214556}","{""body"":""I MISS PENTATONIX FUCK MY LIFE""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1394,""verified"":false,""status_count"":137118}}","{""longitude"":-6.062353500000001,""country"":""GB"",""latitude"":54.51603989375694}","{""body"":""KOLO TOURE LINKED WITH RANGERS????????""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":54,""verified"":false,""status_count"":10326}}","{""longitude"":-0.07060350000000003,""country"":""GB"",""latitude"":51.46469310439313}","{""body"":""https://t.co/vd0QT3ejFU Should a married person have a close friend of the opposite sex?\nBiblical answers, modern words.""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":129,""verified"":false,""status_count"":2198}}","{""longitude"":0.13187,""country"":""GB"",""latitude"":51.443859852313665}","{""body"":""When rude bitches see u on their ig it's not karma it's just me me having fun !!!!!""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":856,""verified"":false,""status_count"":21750}}","{""longitude"":0.7212505000000001,""country"":""GB"",""latitude"":51.54947858240573}","{""body"":""https://t.co/TMVnEArRT9""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1001,""verified"":false,""status_count"":1771}}","{""longitude"":0.7212505000000001,""country"":""GB"",""latitude"":51.54947858240573}","{""body"":""I find it way to hard to trust anyone""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":179,""verified"":false,""status_count"":15475}}","{""longitude"":-0.29743,""country"":""GB"",""latitude"":51.51476447266411}","{""body"":""Little holiday break finally booked for July👏🏽😻☀️""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":270,""verified"":false,""status_count"":1263}}","{""longitude"":-2.2334800000000006,""country"":""GB"",""latitude"":53.456983702037085}","{""body"":""@unitedrant fickle fans. 29 year servant not good enough. Mugs""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":107,""verified"":false,""status_count"":17568}}","{""longitude"":-2.4874310000000004,""country"":""GB"",""latitude"":53.53073471642859}","{""body"":""Gassed girlfriend Yano""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":649,""verified"":false,""status_count"":1068}}","{""longitude"":0.4827625,""country"":""GB"",""latitude"":51.618787229839945}","{""body"":""@fred_makins_ @Dancoughlin101 @maxbeckerAFC @chIomurphy @chris_piejko @99_prosser this is probably my most embarrassing moment on Twitter😂😂😂""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":653,""verified"":false,""status_count"":18340}}","{""longitude"":-3,""country"":""GB"",""latitude"":53.4167}","{""body"":""Midnight munchies.... Decisions decisions 🙈🙈🙈 Protein waffle with PRUTELLA & @nutsnmoreuk Gains… https://t.co/xPRyX8jwZi""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":47,""verified"":false,""status_count"":996}}","{""longitude"":-1.785921,""country"":""GB"",""latitude"":53.6903684346329}","{""body"":""https://t.co/mDkB0m92Mm via youtube@jadaradix""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":562,""verified"":false,""status_count"":19381}}","{""longitude"":-0.7947960000000002,""country"":""GB"",""latitude"":54.13324841105607}","{""body"":""Just wanna move away🙄""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":759,""verified"":false,""status_count"":43639}}","{""longitude"":-2.955045,""country"":""GB"",""latitude"":56.47700935163645}","{""body"":""@SleazyyB just listened to all time low and it hit me how much i miss them""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":118,""verified"":false,""status_count"":2178}}","{""longitude"":-4.142929999999999,""country"":""GB"",""latitude"":50.40223082859258}","{""body"":""@jameshardy303 would've been promoted if James had just gone to morecambe 🙄""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":194,""verified"":false,""status_count"":62333}}","{""longitude"":0.0994707,""country"":""GB"",""latitude"":50.7722453}","{""body"":""Diellas @ Seaford ( https://t.co/sxedSLpxlY ) #tnc #areacode""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1920,""verified"":false,""status_count"":14865}}","{""longitude"":-3.1147660000000004,""country"":""GB"",""latitude"":51.61481755117744}","{""body"":""Can I be August please? #RandL16""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":7,""verified"":false,""status_count"":21121}}","{""longitude"":-0.220036,""country"":""GB"",""latitude"":51.492955}","{""body"":""Want to know more about Internet connectivity in W6 8DD? Look no further than https://t.co/fmic8gdU0v #broadbandcompareuk #bestbroadband""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1146,""verified"":false,""status_count"":42719}}","{""longitude"":-0.17311500000000005,""country"":""GB"",""latitude"":51.5248433429905}","{""body"":""@XHNews @WHO who is so behind with their numbers &fact that we don't believe one bit what  they say unreliable source now""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1830,""verified"":false,""status_count"":9264}}","{""longitude"":-0.1061889,""country"":""GB"",""latitude"":51.5082649}","{""body"":""Enjoying a 'Corpse Reviver Number Blue' from the team at Dandelyan. Bombay Sapphire, Lillet,… https://t.co/3R5b5ZHs1c""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1130,""verified"":false,""status_count"":25675}}","{""longitude"":-3.2030084999999997,""country"":""GB"",""latitude"":55.943259273756}","{""body"":""Ever see someone n thought ahhh cmere n make luv to me 😍😍😍""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":282,""verified"":false,""status_count"":5668}}","{""longitude"":-1.4448110000000003,""country"":""GB"",""latitude"":54.94889131058395}","{""body"":""@Bex_McGee81 Iain suggested they were main players in the October thing x""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1413,""verified"":false,""status_count"":67873}}","{""longitude"":-0.16035850000000001,""country"":""GB"",""latitude"":51.173760998124685}","{""body"":""Got about 2 hours til me and George have to be up and get to Gatwick Airport😁😴""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1071,""verified"":false,""status_count"":11435}}","{""longitude"":-0.148936,""country"":""GB"",""latitude"":51.50009845259365}","{""body"":""@Kooora_facts بايرن""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":515,""verified"":false,""status_count"":10472}}","{""longitude"":-1.8906405,""country"":""GB"",""latitude"":52.49405270288055}","{""body"":""@MlNDCONTROLLED I wasn't saying that""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1055,""verified"":false,""status_count"":81}}","{""longitude"":-0.19371950000000002,""country"":""GB"",""latitude"":51.451674884083495}","{""body"":""@GaryRJDuncan thanking you muchly sir! Can't wait to see your beautiful mugshot next week! 😍 https://t.co/ynlQY7q20C""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1051,""verified"":false,""status_count"":20460}}","{""longitude"":-0.1815875,""country"":""GB"",""latitude"":51.361915086985626}","{""body"":""Cunt https://t.co/LDyz2NN3EV""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":403,""verified"":false,""status_count"":9104}}","{""longitude"":0.565823,""country"":""GB"",""latitude"":50.87180683383785}","{""body"":""Yayyyy got a go pro 🙊""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":146,""verified"":false,""status_count"":4394}}","{""longitude"":-3.9271189999999994,""country"":""GB"",""latitude"":51.02295143263842}","{""body"":""@chloetilley_ especially me😜😜""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":207,""verified"":false,""status_count"":869}}","{""longitude"":-0.9820305,""country"":""GB"",""latitude"":51.45255330711058}","{""body"":""@NatthapojVinceT London ComicCon!Nxt one in Oct;will let you know &join us :) London Anime&Gaming is on in July.I prefer multigenre ComicCon""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":3703,""verified"":false,""status_count"":24975}}","{""longitude"":-2.2294175,""country"":""GB"",""latitude"":51.853102906308365}","{""body"":""RUTHLESS 🙈 https://t.co/EzpMv6muK6""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":498,""verified"":false,""status_count"":12274}}","{""longitude"":-0.49882950000000004,""country"":""GB"",""latitude"":53.84516212047829}","{""body"":""@McMillanCharlie @hannahmortimerx @emilyhealeas dont need id to rave""}","{""sentiment"":-1,""platform"":""twitter""}"
